,,,,,,,,,,,,,,
Cell Number,Capacity,Internal Resistance,Tested By,Module,Notes,,,AVG,AVG - 10%,AVG - 5%,AVG + 10%,,,
001,3415,72.75,Jacob,,,,Capacity:,3441.138408,3097.024567,3269.081488,3785.252249,<= AVG - 10%,<= AVG - 5%,>= AVG + 10%
002,3407,70,Jacob,,,,Res:,76.50172414,68.85155172,72.67663793,84.15189655,<= AVG - 10%,<= AVG - 5%,>= AVG +10%
003,3422,68.5,Jacob,,,,,,,,,,,
004,3393,79,Jacob,,,,,,,,,,,
005,3150,81.25,Jacob,,,,,,,,,,,
006,3056,81.5,Jacob,,,,,,,,,,,
007,3507,80.5,Jacob,,,,,,,,,,,
008,3523,83,Jacob,,,,,,,,,,,
009,2780,80,Jacob,,,,,,,,,,,
010,2960,80.25,Jacob,,,,,,,,,,,
011,3456,75.25,Jacob,,,,,,,,,,,
012,3473,72.5,Jacob,,,,,,,,,,,
013,3443,77,Michael,,,,,,,,,,,
014,3451,77.75,Michael,,,,,,,,,,,
015,3424,80,Michael,,,,,,,,,,,
016,2954,80,Michael,,,,,,,,,,,
017,2945,79,Michael,,,,,,,,,,,
018,3466,70,Michael,,,,,,,,,,,
019,3406,69,Michael,,,,,,,,,,,
020,3516,77,Michael,,,,,,,,,,,
021,3381,70,Michael,,,,,,,,,,,
022,3382,76,Michael,,,,,,,,,,,
023,3373,72,Michael,,,,,,,,,,,
024,3381,70,Michael,,,,,,,,,,,
025,3442,68.25,Jacob,,,,,,,,,,,
026,3442,69.5,Jacob,,,,,,,,,,,
027,3433,76.25,Jacob,,,,,,,,,,,
028,3451,77.75,Jacob,,,,,,,,,,,
029,2906,82.75,Jacob,,,,,,,,,,,
030,3118,82.75,Jacob,,,,,,,,,,,
031,3466,71.25,Jacob,,,,,,,,,,,
032,3440,79.25,Jacob,,,,,,,,,,,
033,3468,69.25,Jacob,,,,,,,,,,,
034,3462,66.5,Jacob,,,,,,,,,,,
035,3400,80,Jacob,,,,,,,,,,,
036,3425,68,Jacob,,,,,,,,,,,
037,3411,82,Jacob,,,,,,,,,,,
038,3444,83.25,Jacob,,,,,,,,,,,
039,3494,68.75,Jacob,,,,,,,,,,,
040,3462,68.75,Jacob,,,,,,,,,,,
041,3450,67.5,Jacob,,,,,,,,,,,
042,3383,75,Jacob,,,,,,,,,,,
043,3499,69.75,Jacob,,,,,,,,,,,
044,3483,68.75,Jacob,,,,,,,,,,,
045,3417,83,Jacob,,,,,,,,,,,
046,3409,82,Jacob,,,,,,,,,,,
047,3438,72,Jacob,,,,,,,,,,,
048,3405,70.25,Jacob,,,,,,,,,,,
049,3409,72,Jacob,,,,,,,,,,,
050,3409,73.25,Jacob,,,,,,,,,,,
051,3440,99.25,Jacob,,,,,,,,,,,
052,3448,80.75,Jacob,,,,,,,,,,,
053,3446,72.25,Jacob,,,,,,,,,,,
054,3396,79.5,Jacob,,,,,,,,,,,
055,3507,81.5,Jacob,,,,,,,,,,,
056,3490,93.25,Jacob,,,,,,,,,,,
057,3465,68.5,Michael,,,,,,,,,,,
058,3474,68.75,Michael,,,,,,,,,,,
059,3288,87.25,Michael,,,,,,,,,,,
060,3341,83.75,Michael,,,,,,,,,,,
061,3407,80,Michael,,,,,,,,,,,
062,,84.5,Michael,,,,,,,,,,,
063,3427,82.25,Michael,,,,,,,,,,,
064,3411,80,Michael,,,,,,,,,,,
065,3357,79.5,Michael,,,,,,,,,,,
066,3343,81.5,Michael,,,,,,,,,,,
067,2945,79.25,Michael,,,,,,,,,,,
068,3473,78.5,Michael,,,,,,,,,,,
069,3444,78,Michael,,,,,,,,,,,
070,3444,85,Michael,,,,,,,,,,,
071,3393,69.5,Michael,,,,,,,,,,,
072,3368,79.25,Michael,,,,,,,,,,,
073,3406,89.5,Michael,,,,,,,,,,,
074,3401,82,Michael,,,,,,,,,,,
075,3415,69.75,Michael,,,,,,,,,,,
076,3431,69.5,Michael,,,,,,,,,,,
077,3468,84,Michael,,,,,,,,,,,
078,3451,79.25,Michael,,,,,,,,,,,
079,3387,81.25,Michael,,,,,,,,,,,
080,3452,80,Michael,,,,,,,,,,,
081,3406,74,Jacob,,,,,,,,,,,
082,3398,79,Jacob,,,,,,,,,,,
083,3455,81.75,Jacob,,,,,,,,,,,
084,3463,80.25,Jacob,,,,,,,,,,,
085,3465,75.25,Michael,,,,,,,,,,,
086,3376,77.75,Michael,,,,,,,,,,,
087,3407,78,Michael,,,,,,,,,,,
088,3403,74.75,Michael,,,,,,,,,,,
089,3380,67.5,Michael,,,,,,,,,,,
090,3399,77.5,Michael,,,,,,,,,,,
091,3423,77.5,Michael,,,,,,,,,,,
092,3415,77,Michael,,,,,,,,,,,
093,2890,81.75,Jacob,,,,,,,,,,,
094,2960,81.25,Jacob,,,,,,,,,,,
095,3393,66.75,Jacob,,,,,,,,,,,
096,3433,73.75,Jacob,,,,,,,,,,,
097,3485,72.5,Jacob,,,,,,,,,,,
098,3493,72.75,Jacob,,,,,,,,,,,
099,3389,69.75,Jacob,,,,,,,,,,,
100,3485,70,Jacob,,,,,,,,,,,
101,3470,68.75,Jacob,,,,,,,,,,,
102,3445,73.5,Jacob,,,,,,,,,,,
103,3434,73.5,Jacob,,,,,,,,,,,
104,3475,66.75,Jacob,,,,,,,,,,,
105,3400,72.75,Jacob,,,,,,,,,,,
106,3425,73.5,Jacob,,,,,,,,,,,
107,3465,71.5,Jacob,,,,,,,,,,,
108,3415,78.25,Jacob,,,,,,,,,,,
109,3440,87.5,Jacob,,,,,,,,,,,
110,3445,67,Jacob,,,,,,,,,,,
111,3407,76.5,Jacob,,,,,,,,,,,
112,3407,81,Jacob,,,,,,,,,,,
113,3444,76.75,Michael,,,,,,,,,,,
114,3461,65.25,Michael,,,,,,,,,,,
115,3403,74.25,Michael,,,,,,,,,,,
116,3403,69.25,Michael,,,,,,,,,,,
117,3497,82,SCT,,,,,,,,,,,
118,3497,81,SCT,,,,,,,,,,,
119,3547,87.75,SCT,,,,,,,,,,,
120,3538,85,SCT,,,,,,,,,,,
121,3480,83.75,SCT,,,,,,,,,,,
122,3487,89.25,SCT,,,,,,,,,,,
123,3537,83.25,SCT,,,,,,,,,,,
124,3521,77.5,SCT,,,,,,,,,,,
125,3407,67.25,Jacob,,,,,,,,,,,
126,3407,72.25,Jacob,,,,,,,,,,,
127,3457,77.25,Jacob,,,,,,,,,,,
128,3473,73.5,Jacob,,,,,,,,,,,
129,3474,74.25,SCT,,,,,,,,,,,
130,3482,72.25,SCT,,,,,,,,,,,
131,3548,78.75,SCT,,,,,,,,,,,
132,3541,78,SCT,,,,,,,,,,,
133,3358,85.25,Michael,,,,,,,,,,,
134,3365,79.75,Michael,,,,,,,,,,,
135,3381,75.5,Michael,,,,,,,,,,,
136,3423,81.5,Michael,,,,,,,,,,,
137,3423,72.5,Michael,,,,,,,,,,,
138,3432,79.25,Michael,,,,,,,,,,,
139,3440,73,Michael,,,,,,,,,,,
140,3431,76,Michael,,,,,,,,,,,
141,3318,80.5,Michael,,,,,,,,,,,
142,3310,78.25,Michael,,,,,,,,,,,
143,3235,73,Michael,,,,,,,,,,,
144,3301,93.25,Michael,,,,,,,,,,,
145,3468,77.25,SCT,,,,,,,,,,,
146,3476,75.5,SCT,,,,,,,,,,,
147,3534,76.25,SCT,,,,,,,,,,,
148,3518,76,SCT,,,,,,,,,,,
149,3417,79,Jacob,,,,,,,,,,,
150,3425,77,Jacob,,,,,,,,,,,
151,3475,73.5,Jacob,,,,,,,,,,,
152,3482,71,Jacob,,,,,,,,,,,
153,3404,75,Michael,,New testing starts here,,,,,,,,,
154,3413,75,Michael,,,,,,,,,,,
155,3429,75.5,Michael,,,,,,,,,,,
156,3438,76.5,Michael,0,,,,,,,,,,
157,3465,76.5,Jacob,,,,,,,,,,,
158,3441,80,Jacob,,,,,,,,,,,
159,3507,78.75,Jacob,,,,,,,,,,,
160,3540,76.75,Jacob,,,,,,,,,,,
161,3497,89.5,SCT,,,,,,,,,,,
162,3505,89.75,SCT,,,,,,,,,,,
163,3555,87,SCT,,,,,,,,,,,
164,3531,87.5,SCT,,,,,,,,,,,
165,3429,74.25,Michael,,,,,,,,,,,
166,3437,77.25,Michael,0,,,,,,,,,,
167,3454,75,Michael,,,,,,,,,,,
168,3471,76.75,Michael,,,,,,,,,,,
169,3439,83.5,Jacob,0,,,,,,,,,,
170,3438,73,Jacob,0,,,,,,,,,,
171,3489,71.75,Jacob,,,,,,,,,,,
172,3497,72.5,Jacob,,,,,,,,,,,
173,3489,85.75,SCT,,,,,,,,,,,
174,3489,80,SCT,,,,,,,,,,,
175,3547,80.25,SCT,,,,,,,,,,,
176,3530,79.25,SCT,,,,,,,,,,,
177,3406,76.75,Michael,,,,,,,,,,,
178,3410,80.75,Michael,,,,,,,,,,,
179,3435,80.75,Michael,0,,,,,,,,,,
180,3451,73.25,Michael,,,,,,,,,,,
181,3476,80.5,Michael,,,,,,,,,,,
182,3423,72.5,Michael,,,,,,,,,,,
183,3439,74,Michael,0,,,,,,,,,,
184,3464,74,Michael,,,,,,,,,,,
185,3439,82,Jacob,0,,,,,,,,,,
186,3447,75.75,Jacob,,,,,,,,,,,
187,3489,76.75,Jacob,,,,,,,,,,,
188,3497,73.25,Jacob,,,,,,,,,,,
189,3490,81.25,SCT,,,,,,,,,,,
190,3498,82,SCT,,,,,,,,,,,
191,3458,73,SCT,,,,,,,,,,,
192,3539,79.5,SCT,,,,,,,,,,,
193,3393,79.75,Michael,,,,,,,,,,,
194,3434,79.25,Michael,0,,,,,,,,,,
195,3450,72.25,Michael,,,,,,,,,,,
196,3419,76,Michael,,,,,,,,,,,
197,3418,76,Michael,,,,,,,,,,,
198,3443,74.75,Michael,,,,,,,,,,,
199,3468,75.75,Michael,,,,,,,,,,,
200,3476,74.25,Michael,,,,,,,,,,,
201,3406,71.75,Michael,,,,,,,,,,,
202,3423,81.75,Michael,,,,,,,,,,,
203,3447,73.25,Michael,,,,,,,,,,,
204,3472,74.75,Michael,,,,,,,,,,,
205,3446,72.5,Jacob,,,,,,,,,,,
206,3421,74.5,Jacob,,,,,,,,,,,
207,3487,72.25,Jacob,,,,,,,,,,,
208,3512,70,Jacob,,,,,,,,,,,
209,3464,79.25,SCT,,,,,,,,,,,
210,3484,77.25,SCT,,,,,,,,,,,
211,3530,73.5,SCT,,,,,,,,,,,
212,3514,75,SCT,,,,,,,,,,,
213,3430,72,Michael,0,,,,,,,,,,
214,3455,74.5,Michael,,Started performing retests,,,,,,,,,
215,3456,72.25,Jacob,,,,,,,,,,,
216,3439,69.25,Jacob,0,,,,,,,,,,
217,3506,70.25,Jacob,,,,,,,,,,,
218,3498,68.5,Jacob,,,,,,,,,,,
219,3514,75.5,SCT,,,,,,,,,,,
220,3506,86.5,SCT,,,,,,,,,,,
221,3564,73.5,SCT,,,,,,,,,,,
222,3555,75.75,SCT,,,,,,,,,,,
223,3488,76,Jacob,,,,,,,,,,,
224,3463,75.75,Jacob,,,,,,,,,,,
225,3496,74,Jacob,,,,,,,,,,,
226,3504,77,Jacob,,,,,,,,,,,
227,3525,77.25,SCT,,,,,,,,,,,
228,3508,79.25,SCT,,,,,,,,,,,
229,3559,78.5,SCT,,,,,,,,,,,
230,3542,79.75,SCT,,,,,,,,,,,
231,3463,71.5,Jacob,,,,,,,,,,,
232,3447,70.25,Jacob,,,,,,,,,,,
233,3497,73.75,Jacob,,,,,,,,,,,
234,3488,75.5,Jacob,,,,,,,,,,,
235,3499,83.25,SCT,,,,,,,,,,,
236,3499,75.25,SCT,,,,,,,,,,,
237,3558,83,SCT,,,,,,,,,,,
238,3549,80.75,SCT,,,,,,,,,,,
239,3456,74.25,Jacob,,,,,,,,,,,
240,3456,77,Jacob,,,,,,,,,,,
241,3497,71.75,Jacob,,,,,,,,,,,
242,3480,74.75,Jacob,,,,,,,,,,,
243,3497,75.75,SCT,,,,,,,,,,,
244,3498,75.25,SCT,,,,,,,,,,,
245,3547,72,SCT,,,,,,,,,,,
246,3530,73.75,SCT,,,,,,,,,,,
247,3443,72,Jacob,,,,,,,,,,,
248,3443,81.25,Jacob,,,,,,,,,,,
249,3485,73.5,Jacob,,,,,,,,,,,
250,3484,71.25,Jacob,,,,,,,,,,,
251,3489,76.5,SCT,,,,,,,,,,,
252,3489,79.25,SCT,,,,,,,,,,,
253,3539,79.25,SCT,,,,,,,,,,,
