Cell Number,Capacity,Internal Resistance,Tested By,Notes,,,,AVG,AVG - 10%,AVG - 5%,AVG + 10%,,,
1,3415,87.5,Jacob,,Capacity in mAh,,Capacity:,3480.078947,3132.071053,3306.075,3828.086842,<= AVG - 10%,<= AVG - 5%,>= AVG + 10%
2,3407,94.25,Jacob,,Resistance in milliohms,,Res:,76.50471698,68.85424528,72.67948113,84.15518868,<= AVG - 10%,<= AVG - 5%,>= AVG +10%
3,2905,90,Jacob,,,,,,,,,,,
4,2928,101.25,Jacob,,,,,,,,,,,
5,3150,86.5,Jacob,,,,,,,,,,,
6,3056,93.25,Jacob,,,,,,,,,,,
7,3065,118.25,Jacob,,,,,,,,,,,
8,3008,98.5,Jacob,,,,,,,,,,,
9,2780,86,Jacob,,,,,,,,,,,
10,2960,93.75,Jacob,,,,,,,,,,,
11,3456,75.25,Jacob,,,,,,,,,,,
12,3473,83.25,Jacob,,,,,,,,,,,
13,3030,75,Michael,,,,,,,,,,,
14,2994,75,Michael,,,,,,,,,,,
15,3424,80,Michael,,,,,,,,,,,
16,2954,74,Michael,,,,,,,,,,,
17,2945,75,Michael,,,,,,,,,,,
18,3466,70,Michael,,,,,,,,,,,
19,2861,69,Michael,,,,,,,,,,,
20,3516,77,Michael,,,,,,,,,,,
21,2834,70,Michael,,,,,,,,,,,
22,3382,76,Michael,,,,,,,,,,,
23,2830,72,Michael,,,,,,,,,,,
24,2874,70,Michael,,,,,,,,,,,
25,3442,95.75,Jacob,Dud,,,,,,,,,,
26,3442,91.25,Jacob,,,,,,,,,,,
27,2949,76.25,Jacob,,,,,,,,,,,
28,2798,77.75,Jacob,,,,,,,,,,,
29,2906,78.5,Jacob,,,,,,,,,,,
30,3118,77.5,Jacob,,,,,,,,,,,
31,3466,88.75,Jacob,,,,,,,,,,,
32,3440,79.25,Jacob,,,,,,,,,,,
33,3468,85.75,Jacob,,,,,,,,,,,
34,3267,87.75,Jacob,,,,,,,,,,,
35,3400,80,Jacob,,,,,,,,,,,
36,3425,68,Jacob,,,,,,,,,,,
37,3096,89,Jacob,,,,,,,,,,,
38,2841,80.25,Jacob,,,,,,,,,,,
39,3494,83.25,Jacob,,,,,,,,,,,
40,3462,89,Jacob,,,,,,,,,,,
41,3112,89.25,Jacob,,,,,,,,,,,
42,3067,82.25,Jacob,,,,,,,,,,,
43,2939,83.25,Jacob,,,,,,,,,,,
44,3041,89,Jacob,,,,,,,,,,,
45,3417,83,Jacob,,,,,,,,,,,
46,3409,82,Jacob,,,,,,,,,,,
47,3438,87.75,Jacob,,,,,,,,,,,
48,3405,85,Jacob,,,,,,,,,,,
49,3409,83.75,Jacob,,,,,,,,,,,
50,3409,86.75,Jacob,,,,,,,,,,,
51,3440,99.25,Jacob,,,,,,,,,,,
52,3448,80.75,Jacob,,,,,,,,,,,
53,3446,96,Jacob,,,,,,,,,,,
54,3396,79.5,Jacob,,,,,,,,,,,
55,3507,81.5,Jacob,,,,,,,,,,,
56,3490,93.25,Jacob,,,,,,,,,,,
57,2896,88.25,Michael,,,,,,,,,,,
58,2951,88.75,Michael,,,,,,,,,,,
59,3288,87.25,Michael,,,,,,,,,,,
60,3341,83.75,Michael,,,,,,,,,,,
61,3407,80,Michael,,,,,,,,,,,
65,3357,79.5,Michael,,,,,,,,,,,
66,3343,81.5,Michael,,,,,,,,,,,
67,2945,81,Michael,,,,,,,,,,,
68,2948,80.5,Michael,,,,,,,,,,,
69,3444,78,Michael,,,,,,,,,,,
70,3444,85,Michael,,,,,,,,,,,
71,3393,86.25,Michael,,,,,,,,,,,
72,3368,79.25,Michael,,,,,,,,,,,
73,3406,89.5,Michael,,,,,,,,,,,
74,3401,82,Michael,,,,,,,,,,,
75,3415,84.5,Michael,,,,,,,,,,,
76,3431,86,Michael,,,,,,,,,,,
77,3468,84,Michael,,,,,,,,,,,
78,3451,79.25,Michael,,,,,,,,,,,
79,3387,81.25,Michael,,,,,,,,,,,
80,3452,80,Michael,,,,,,,,,,,
81,3406,74,Jacob,,,,,,,,,,,
82,3398,79,Jacob,WHY ARE YOU NOT IN THE DESIGN CENTER!?,,,,,,,,,,
83,3455,81.75,Jacob,,,,,,,,,,,
84,3463,80.25,Jacob,,,,,,,,,,,
85,2758,77.5,Michael,,,,,,,,,,,
86,3003,81,Michael,,,,,,,,,,,
87,3407,78,Michael,,,,,,,,,,,
88,3403,74.75,Michael,,,,,,,,,,,
89,2981,74.75,Michael,,,,,,,,,,,
90,3399,77.5,Michael,,,,,,,,,,,
91,3423,77.5,Michael,,,,,,,,,,,
92,3415,77,Michael,,,,,,,,,,,
93,2890,87.25,Jacob,,,,,,,,,,,
94,2960,82,Jacob,,,,,,,,,,,
95,3050,76.5,Jacob,,,,,,,,,,,
96,3000,81,Jacob,,,,,,,,,,,
97,3485,82,Jacob,,,,,,,,,,,
98,3493,97.75,Jacob,,,,,,,,,,,
99,3389,96.5,Jacob,,,,,,,,,,,
100,3485,82.75,Jacob,,,,,,,,,,,
101,3470,85.5,Jacob,,,,,,,,,,,
102,3445,73.5,Jacob,,,,,,,,,,,
103,3434,73.5,Jacob,,,,,,,,,,,
104,3475,81.75,Jacob,,,,,,,,,,,
105,2889,80.5,Jacob,,,,,,,,,,,
106,2996,82.75,Jacob,,,,,,,,,,,
107,3112,82,Jacob,,,,,,,,,,,
108,3090,78.25,Jacob,,,,,,,,,,,
109,3440,87.5,Jacob,,,,,,,,,,,
110,3456,85,Jacob,,,,,,,,,,,
111,3407,76.5,Jacob,,,,,,,,,,,
112,3407,81,Jacob,,,,,,,,,,,
113,3444,76.75,Michael,,,,,,,,,,,
114,3461,65.25,Michael,,,,,,,,,,,
115,3403,74.25,Michael,,,,,,,,,,,
116,3403,69.25,Michael,,,,,,,,,,,
117,3497,82,SCT,,,,,,,,,,,
118,3497,81,SCT,,,,,,,,,,,
119,3547,87.75,SCT,,,,,,,,,,,
120,3538,85,SCT,,,,,,,,,,,
121,3480,83.75,SCT,,,,,,,,,,,
122,3487,89.25,SCT,,,,,,,,,,,
123,3537,83.25,SCT,,,,,,,,,,,
124,3521,77.5,SCT,,,,,,,,,,,
125,3407,67.25,Jacob,,,,,,,,,,,
126,3407,72.25,Jacob,,,,,,,,,,,
127,3457,77.25,Jacob,,,,,,,,,,,
128,3473,73.5,Jacob,,,,,,,,,,,
129,3474,74.25,SCT,,,,,,,,,,,
130,3482,72.25,SCT,,,,,,,,,,,
131,3548,78.75,SCT,,,,,,,,,,,
132,3541,78,SCT,,,,,,,,,,,
133,3358,85.25,Michael,,,,,,,,,,,
134,3365,79.75,Michael,,,,,,,,,,,
135,3381,75.5,Michael,,,,,,,,,,,
136,3423,81.5,Michael,,,,,,,,,,,
137,3423,72.5,Michael,,,,,,,,,,,
138,3432,79.25,Michael,,,,,,,,,,,
139,3440,73,Michael,,,,,,,,,,,
140,3431,76,Michael,,,,,,,,,,,
141,3318,80.5,Michael,"Outer box had crossed out frowny face, with a smiley face on the opposite side. Inner box had frowny face",,,,,,,,,,
142,3310,78.25,Michael,"Outer box had crossed out frowny face, with a smiley face on the opposite side. Inner box had frowny face",,,,,,,,,,
143,3235,73,Michael,,,,,,,,,,,
144,3301,93.25,Michael,,,,,,,,,,,
145,3468,77.25,SCT,,,,,,,,,,,
146,3476,75.5,SCT,,,,,,,,,,,
147,3534,76.25,SCT,,,,,,,,,,,
148,3518,76,SCT,,,,,,,,,,,
149,3417,79,Jacob,,,,,,,,,,,
150,3425,77,Jacob,,,,,,,,,,,
151,3475,73.5,Jacob,,,,,,,,,,,
152,3482,71,Jacob,,,,,,,,,,,
153,3404,75,Michael,New testing starts here,,,,,,,,,,
154,3413,75,Michael,,,,,,,,,,,
155,3429,75.5,Michael,,,,,,,,,,,
156,3438,76.5,Michael,,,,,,,,,,,
157,3465,76.5,Jacob,,,,,,,,,,,
158,3441,80,Jacob,,,,,,,,,,,
159,3507,78.75,Jacob,,,,,,,,,,,
160,3540,76.75,Jacob,,,,,,,,,,,
161,3497,89.5,SCT,,,,,,,,,,,
162,3505,89.75,SCT,,,,,,,,,,,
163,3555,87,SCT,,,,,,,,,,,
164,3531,87.5,SCT,,,,,,,,,,,
165,3429,74.25,Michael,,,,,,,,,,,
166,3437,77.25,Michael,,,,,,,,,,,
167,3454,75,Michael,,,,,,,,,,,
168,3471,76.75,Michael,,,,,,,,,,,
169,3439,83.5,Jacob,,,,,,,,,,,
170,3438,73,Jacob,,,,,,,,,,,
171,3489,71.75,Jacob,,,,,,,,,,,
172,3497,72.5,Jacob,,,,,,,,,,,
173,3489,85.75,SCT,,,,,,,,,,,
174,3489,80,SCT,,,,,,,,,,,
175,3547,80.25,SCT,,,,,,,,,,,
176,3530,79.25,SCT,,,,,,,,,,,
177,3406,76.75,Michael,,,,,,,,,,,
178,3410,80.75,Michael,,,,,,,,,,,
179,3435,80.75,Michael,,,,,,,,,,,
180,3451,73.25,Michael,,,,,,,,,,,
181,3476,80.5,Michael,,,,,,,,,,,
182,3423,72.5,Michael,,,,,,,,,,,
183,3439,74,Michael,,,,,,,,,,,
184,3464,74,Michael,,,,,,,,,,,
185,3439,82,Jacob,,,,,,,,,,,
186,3447,75.75,Jacob,,,,,,,,,,,
187,3489,76.75,Jacob,,,,,,,,,,,
188,3497,73.25,Jacob,,,,,,,,,,,
189,3490,81.25,SCT,,,,,,,,,,,
190,3498,82,SCT,,,,,,,,,,,
191,3458,73,SCT,,,,,,,,,,,
192,3539,79.5,SCT,,,,,,,,,,,
193,3393,79.75,Michael,,,,,,,,,,,
194,3434,79.25,Michael,,,,,,,,,,,
195,3450,72.25,Michael,,,,,,,,,,,
196,3419,76,Michael,,,,,,,,,,,
197,3418,76,Michael,,,,,,,,,,,
198,3443,74.75,Michael,,,,,,,,,,,
199,3468,75.75,Michael,,,,,,,,,,,
200,3476,74.25,Michael,,,,,,,,,,,
201,3406,71.75,Michael,,,,,,,,,,,
202,3423,81.75,Michael,,,,,,,,,,,
203,3447,73.25,Michael,,,,,,,,,,,
204,3472,74.75,Michael,,,,,,,,,,,
205,3446,72.5,Jacob,,,,,,,,,,,
206,3421,74.5,Jacob,,,,,,,,,,,
207,3487,72.25,Jacob,,,,,,,,,,,
208,3512,70,Jacob,,,,,,,,,,,
209,3464,79.25,SCT,,,,,,,,,,,
210,3484,77.25,SCT,,,,,,,,,,,
211,3530,73.5,SCT,,,,,,,,,,,
212,3514,75,SCT,,,,,,,,,,,
213,3430,72,Michael,,,,,,,,,,,
214,3455,74.5,Michael,Started performing retests,,,,,,,,,,
215,3456,72.25,Jacob,,,,,,,,,,,
216,3439,69.25,Jacob,,,,,,,,,,,
217,3506,70.25,Jacob,,,,,,,,,,,
218,3498,68.5,Jacob,,,,,,,,,,,
219,3514,75.5,SCT,,,,,,,,,,,
220,3506,86.5,SCT,,,,,,,,,,,
221,3564,73.5,SCT,,,,,,,,,,,
222,3555,75.75,SCT,,,,,,,,,,,
223,3488,76,Jacob,,,,,,,,,,,
224,3463,75.75,Jacob,,,,,,,,,,,
225,3496,74,Jacob,,,,,,,,,,,
226,3504,77,Jacob,,,,,,,,,,,
227,3525,77.25,SCT,,,,,,,,,,,
228,3508,79.25,SCT,,,,,,,,,,,
229,3559,78.5,SCT,,,,,,,,,,,
230,3542,79.75,SCT,,,,,,,,,,,
231,3463,71.5,Jacob,,,,,,,,,,,
232,3447,70.25,Jacob,,,,,,,,,,,
233,3497,73.75,Jacob,,,,,,,,,,,
234,3488,75.5,Jacob,,,,,,,,,,,
235,3499,83.25,SCT,,,,,,,,,,,
236,3499,75.25,SCT,,,,,,,,,,,
237,3558,83,SCT,,,,,,,,,,,
238,3549,80.75,SCT,,,,,,,,,,,
239,3456,74.25,Jacob,,,,,,,,,,,
240,3456,77,Jacob,,,,,,,,,,,
241,3497,71.75,Jacob,,,,,,,,,,,
242,3480,74.75,Jacob,,,,,,,,,,,
243,3497,75.75,SCT,,,,,,,,,,,
244,3498,75.25,SCT,,,,,,,,,,,
245,3547,72,SCT,,,,,,,,,,,
246,3530,73.75,SCT,,,,,,,,,,,
247,3443,72,Jacob,,,,,,,,,,,
248,3443,81.25,Jacob,,,,,,,,,,,
249,3485,73.5,Jacob,,,,,,,,,,,
250,3484,71.25,Jacob,,,,,,,,,,,
251,3489,76.5,SCT,,,,,,,,,,,
252,3489,79.25,SCT,,,,,,,,,,,
253,3539,79.25,SCT,,,,,,,,,,,
254,3539,77.25,SCT,,,,,,,,,,,
255,3489,78.25,Jacob,,,,,,,,,,,
256,3480,74,Jacob,,,,,,,,,,,
257,3431,72.75,Jacob,,,,,,,,,,,
258,3431,74.25,Jacob,,,,,,,,,,,
